variant,collection_date,subm_date,region,country,province ,lineages,date_2weeks
DENV-1,2019/06/16,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/16
DENV-1,2019/08/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/06
DENV-1,2019/06/13,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/13
DENV-1,2019/06/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/06
DENV-1,2019/05/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/17
DENV-1,2019/05/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/17
DENV-1,2019/01/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/01/15
DENV-1,2019/05/14,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/14
DENV-1,2019/06/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/15
DENV-1,2019/06/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/15
DENV-1,2019/06/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/15
DENV-1,2019/10/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/10/05
DENV-1,2019/09/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/09/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/07/03,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/03
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/06/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/05
DENV-1,2019/02/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/02/05
DENV-1,2019/02/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/02/05
DENV-1,2019/04/30,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/30
DENV-1,2019/04/23,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/23
DENV-1,2019/04/20,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/20
DENV-1,2019/04/20,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/20
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/14,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/14
DENV-1,2019/12/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/12/04
DENV-1,2019/07/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/04
DENV-1,2019/06/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/04
DENV-1,2019/03/29,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/29
DENV-1,2019/01/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/01/04
DENV-1,2019/03/27,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/27
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/11/02,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/11/02
DENV-1,2019/03/23,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/23
DENV-1,2019/03/19,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/19
DENV-1,2019/03/16,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/16
DENV-1,2019/02/11,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/02/11
DENV-1,2019/02/13,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/02/13
DENV-1,2019/04/16,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/16
DENV-1,2019/04/13,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/13
